b21,b26,b38,b48,b77,Turbidity
0.208941,0.211345,0.263369,0.254665,0.268749,17.46
0.20697,0.209887,0.267167,0.257829,0.27376,15.89
0.207809,0.210353,0.267137,0.257702,0.275821,16.07
0.206801,0.209249,0.265553,0.25607,0.273958,31.26
0.208605,0.211224,0.268387,0.258989,0.277291,15.02
0.205331,0.207886,0.264307,0.256513,0.271225,14.62
0.207562,0.210327,0.267811,0.26012,0.275346,13.56
0.207215,0.209456,0.25804,0.246899,0.261228,18.45
0.205401,0.207471,0.255191,0.243966,0.257877,18.31
0.204537,0.208353,0.25429,0.244398,0.261299,17.69
0.203781,0.20715,0.254456,0.243364,0.257403,18.29
0.208201,0.210596,0.261006,0.251787,0.268227,17.28
0.209617,0.211749,0.262495,0.25329,0.267797,17.17
0.210224,0.212413,0.263447,0.25427,0.268917,18.04
0.211644,0.213967,0.265679,0.256568,0.271542,18.16
0.208893,0.211991,0.270187,0.260939,0.277312,15.88
0.207596,0.21012,0.266802,0.257357,0.275428,15.72
0.207884,0.210679,0.268317,0.260641,0.275941,14.08
0.20956,0.210458,0.259817,0.251711,0.265494,18.09
0.207106,0.209337,0.257869,0.246723,0.261027,17.85
0.205013,0.207652,0.255399,0.247317,0.2601,18.68
0.207484,0.211832,0.257522,0.251588,0.265356,17.93
0.208791,0.213262,0.259575,0.253702,0.267771,18.13
0.208105,0.212174,0.259659,0.252927,0.26697,17.43
0.210939,0.213987,0.263383,0.255724,0.269006,17.58
0.20789,0.211167,0.262619,0.253924,0.268548,18.13
0.207524,0.210493,0.268038,0.258725,0.274783,16.03
0.207364,0.209633,0.258594,0.248319,0.262122,18.19
0.207828,0.210157,0.258985,0.248802,0.263864,18
0.207798,0.210536,0.258504,0.249646,0.262741,18.23
0.206083,0.208823,0.25708,0.249048,0.262077,17.98
0.207171,0.208912,0.257912,0.248774,0.260841,17.51
0.205425,0.207653,0.254958,0.245239,0.260697,18.25
0.205818,0.208083,0.255575,0.245875,0.261423,18.25
0.206434,0.208757,0.256542,0.246871,0.26256,18.31
0.206673,0.209513,0.257646,0.247914,0.262896,18.1
0.202196,0.205754,0.249832,0.240306,0.252574,17.96
0.203749,0.207692,0.254938,0.246789,0.260397,18.64
0.203152,0.207039,0.254001,0.245824,0.259295,17.81
0.20834,0.212393,0.260546,0.251275,0.2667,18.56
0.204255,0.207075,0.252163,0.242962,0.257346,17.86
0.208982,0.213536,0.260599,0.252577,0.268295,17.41
0.210894,0.215563,0.262878,0.257103,0.271655,18.04
0.208594,0.211026,0.261623,0.252423,0.268953,17.85
0.208405,0.211215,0.259404,0.251626,0.264326,15.69
0.208826,0.212725,0.262505,0.25587,0.270227,17.1
0.209789,0.213993,0.265924,0.258877,0.27357,20.45
0.208501,0.212584,0.2639,0.256794,0.27119,18.51
0.207634,0.210888,0.262217,0.25351,0.268075,18
0.20747,0.20981,0.261638,0.251919,0.264677,18.27
0.207473,0.209769,0.258427,0.248227,0.263208,17.83
0.210214,0.212769,0.262734,0.252662,0.268274,17.84
0.209063,0.21192,0.26049,0.251691,0.265077,18.02
0.207988,0.210744,0.258801,0.249952,0.263091,18.03
0.207408,0.209171,0.258284,0.249157,0.261279,18.05
0.207099,0.209979,0.258316,0.248604,0.263683,17.98
0.204843,0.20769,0.254427,0.243808,0.259104,18.46
0.205527,0.208373,0.255947,0.248374,0.26144,18.86
0.205103,0.208854,0.253221,0.245229,0.259172,18.33
0.208108,0.20937,0.259067,0.25129,0.265031,17.79
0.210124,0.214439,0.262963,0.254444,0.269387,17.47
0.20922,0.212106,0.260683,0.252944,0.26583,17.1
0.209452,0.21236,0.261048,0.253319,0.266259,17.47
0.209557,0.21171,0.264403,0.256611,0.270592,17.23
0.208686,0.21057,0.260292,0.251225,0.263641,17.75
0.203575,0.205436,0.252328,0.244022,0.255016,17.78
0.205951,0.208228,0.255784,0.24609,0.261668,17.77
0.204881,0.207553,0.253481,0.244292,0.257668,18.17
0.206399,0.208389,0.255002,0.246103,0.259803,18.12
0.20434,0.207284,0.254842,0.244242,0.256986,17.62
0.202487,0.204226,0.249573,0.239005,0.254945,22.03
0.203975,0.207362,0.254761,0.243678,0.257762,18.23
0.206424,0.209449,0.25557,0.246471,0.261353,18.16
0.208717,0.211643,0.261266,0.252309,0.266303,17.6
0.209605,0.211007,0.261418,0.25371,0.267795,18.29
0.208271,0.211915,0.26103,0.254113,0.267969,17.29
0.207817,0.211755,0.26178,0.253229,0.267674,14.6
0.207367,0.211263,0.261073,0.252501,0.266843,19.71
0.206106,0.208478,0.259332,0.251084,0.263763,18.21
0.207787,0.210318,0.261973,0.253803,0.266869,18.5
0.207412,0.209362,0.261033,0.253142,0.266629,16.93
0.207649,0.209621,0.261405,0.253525,0.267067,19.3
0.20287,0.204664,0.25122,0.242881,0.253712,17.96
0.205474,0.207514,0.255311,0.247094,0.258524,17.95
0.20549,0.207717,0.254615,0.245449,0.258302,18.27
0.205627,0.207867,0.254831,0.245671,0.258556,18.11
0.206726,0.208747,0.255515,0.246631,0.260407,18.1
0.205955,0.209051,0.257379,0.246854,0.259969,18.32
0.20301,0.205828,0.252752,0.242089,0.254527,17.79
0.204616,0.20673,0.252843,0.243377,0.259781,16.83
0.204739,0.207576,0.254263,0.24364,0.258912,18.78
0.206814,0.208795,0.255915,0.247504,0.259704,19.06
0.205072,0.20594,0.253379,0.24346,0.257124,18.26
0.206715,0.208163,0.255526,0.245868,0.260083,18.02
0.206133,0.210315,0.257027,0.247172,0.260888,17.91
0.208656,0.211743,0.259574,0.252001,0.266204,17.63
0.207652,0.210644,0.257997,0.250377,0.264349,17.03
0.20913,0.212261,0.260317,0.252767,0.267079,18
0.209984,0.213174,0.261886,0.25401,0.268739,17.43
0.208754,0.211611,0.260459,0.252498,0.265802,16.93
0.209744,0.212694,0.262013,0.254099,0.267631,16.88
0.208598,0.212554,0.26213,0.254813,0.268785,17.02
0.211173,0.212535,0.262674,0.255219,0.269933,18.02
0.207579,0.210926,0.260672,0.253171,0.266616,18.06
0.207877,0.211253,0.26114,0.253654,0.267167,16.84
0.209274,0.212781,0.263335,0.255913,0.269748,19.73
0.207873,0.211938,0.263061,0.253122,0.267988,18.05
0.207571,0.211486,0.261393,0.25283,0.267219,16.8
0.203411,0.205878,0.25169,0.244252,0.254258,18.38
0.205305,0.207951,0.254666,0.247316,0.257757,18.79
0.204069,0.206598,0.252724,0.245317,0.255474,18.45
0.205009,0.207871,0.254687,0.244076,0.25941,18.25
0.204188,0.206062,0.250163,0.241968,0.253439,18.06
0.208851,0.208932,0.257967,0.247271,0.264012,16.96
0.206289,0.210486,0.257272,0.247424,0.261177,19.03
0.206225,0.209231,0.255257,0.246149,0.260986,21.49
0.207949,0.210614,0.258479,0.250015,0.264632,17.9
0.207733,0.210732,0.258123,0.250507,0.264498,17.55
0.208866,0.211951,0.26013,0.252202,0.266674,16.63
0.209231,0.21235,0.260703,0.252792,0.267348,16.31
0.208904,0.211992,0.26019,0.252263,0.266744,17.62
0.209777,0.212731,0.262065,0.254153,0.267692,17.14
0.208129,0.210927,0.259477,0.251487,0.264648,17.39
0.208858,0.211357,0.26077,0.251985,0.265083,17.23
0.206519,0.210968,0.257608,0.250032,0.262727,16.86
0.20915,0.212045,0.262771,0.253736,0.269252,17.12
0.20951,0.212438,0.263336,0.254319,0.269916,17.86
0.209459,0.212228,0.265083,0.256059,0.270937,17.46
0.210331,0.213182,0.266452,0.257468,0.272546,18.19
0.213058,0.214598,0.265635,0.258268,0.273415,13.64
0.204924,0.207619,0.254003,0.243869,0.257289,22.97
0.205649,0.208412,0.255141,0.245041,0.258627,19
0.205299,0.208028,0.254591,0.244474,0.25798,18.74
0.205361,0.209326,0.256145,0.248143,0.25929,18.47
0.204835,0.20875,0.255319,0.247293,0.258319,26.86
0.201776,0.205403,0.250514,0.242345,0.252668,18.72
0.205437,0.208954,0.257299,0.248026,0.263366,18.16
0.203643,0.20699,0.25448,0.245123,0.26005,18.88
0.205027,0.20918,0.256387,0.248513,0.263923,18.46
0.204341,0.208429,0.255308,0.247403,0.262655,17.45
0.205623,0.208886,0.255489,0.245833,0.260269,18.24
0.20323,0.203924,0.250486,0.24048,0.253721,18.35
0.206711,0.206589,0.254605,0.243809,0.260057,18.48
0.206167,0.210015,0.257132,0.247759,0.262684,18.76
0.209109,0.212269,0.260201,0.252568,0.266633,24.26
0.207727,0.21056,0.259711,0.250708,0.264475,16
0.207751,0.210586,0.259748,0.250746,0.264519,18.22
0.207798,0.211431,0.261065,0.252442,0.268931,16.84
0.205308,0.208705,0.257153,0.248413,0.264329,18.13
0.207685,0.211306,0.260887,0.252258,0.268721,18.34
0.2074,0.210995,0.26044,0.251799,0.268196,15.95
0.208062,0.212263,0.260526,0.252841,0.268477,14.52
0.209457,0.212289,0.259715,0.252119,0.265038,16.13
0.20776,0.211637,0.260813,0.253457,0.267237,17.5
0.208241,0.21105,0.261343,0.252266,0.267572,17.54
0.20748,0.210525,0.260009,0.250786,0.267698,18.21
0.206558,0.211595,0.26373,0.253822,0.268506,16.92
0.204836,0.208296,0.256354,0.247053,0.262255,18.78
0.205576,0.208835,0.255415,0.245756,0.260182,18.65
0.204098,0.207497,0.254955,0.243877,0.257989,18.15
0.205546,0.209673,0.256104,0.246222,0.259803,18.22
0.208134,0.211202,0.258669,0.25099,0.264831,19.8
0.208243,0.211125,0.260522,0.251543,0.265428,17.67
0.208802,0.211736,0.2614,0.252447,0.266461,17.93
0.208486,0.211227,0.25819,0.250549,0.263244,15.68
0.210362,0.213279,0.261135,0.253582,0.266709,18.26
0.209634,0.212525,0.261392,0.252561,0.267869,16.66
0.208759,0.21273,0.262383,0.255073,0.269083,18.59
0.210439,0.212315,0.263261,0.255285,0.270052,16.99
0.208366,0.211494,0.2614,0.252218,0.269334,17.41
0.20679,0.211849,0.264095,0.254197,0.268935,15.52
0.209144,0.214425,0.267792,0.258004,0.273283,17.91
0.205768,0.209337,0.255171,0.245975,0.259921,18.83
0.204059,0.207466,0.252486,0.24321,0.256763,18.34
0.205541,0.206453,0.254116,0.244218,0.25799,23.91
0.204196,0.206413,0.25284,0.242209,0.257852,17.46
0.205546,0.20789,0.25496,0.244392,0.260345,17.99
0.206952,0.209429,0.257169,0.246667,0.262943,17.84
0.206654,0.210387,0.257466,0.248028,0.261704,17.92
0.204987,0.208563,0.254847,0.245332,0.258624,17.9
0.204603,0.208144,0.254245,0.244711,0.257915,18.09
